var_norm,n_years,first_year,last_year,years_present,example_name,status
altas_particular,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_particular,completa
altas_sns,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altas_sns,completa
altcuracion_cirugia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_cirugia,completa
altcuracion_gine,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_gine,completa
altcuracion_largaestan,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_largaEstan,completa
altcuracion_med,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_med,completa
altcuracion_mintensiva,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_mIntensiva,completa
altcuracion_neonatologia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_neonatologia,completa
altcuracion_o1,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_o1,completa
altcuracion_o2,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_o2,completa
altcuracion_o3,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_o3,completa
altcuracion_paliativos,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_paliativos,completa
altcuracion_pediatria,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_pediatria,completa
altcuracion_psiagudo,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_psiAgudo,completa
altcuracion_psiquiatria,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_psiquiatria,completa
altcuracion_psiquimedia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_psiquiMedia,completa
altcuracion_rehabilitacion,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_rehabilitacion,completa
altcuracion_restopedia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_restoPedia,completa
altcuracion_total,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_total,completa
altcuracion_trauma,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_trauma,completa
altcuracion_uci,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_uci,completa
altcuracion_ucoronarios,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_uCoronarios,completa
altcuracion_uneonatales,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_uNeonatales,completa
altcuracion_uquemados,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altCuracion_uQuemados,completa
altexitus_cirugia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_cirugia,completa
altexitus_gine,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_gine,completa
altexitus_largaestan,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_largaEstan,completa
altexitus_med,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_med,completa
altexitus_mintensiva,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_mIntensiva,completa
altexitus_neonatologia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_neonatologia,completa
altexitus_o1,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_o1,completa
altexitus_o2,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_o2,completa
altexitus_o3,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_o3,completa
altexitus_paliativos,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_paliativos,completa
altexitus_pediatria,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_pediatria,completa
altexitus_psiagudo,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_psiAgudo,completa
altexitus_psiquiatria,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_psiquiatria,completa
altexitus_psiquimedia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_psiquiMedia,completa
altexitus_rehabilitacion,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_rehabilitacion,completa
altexitus_restopedia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_restoPedia,completa
altexitus_total,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_total,completa
altexitus_trauma,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_trauma,completa
altexitus_uci,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_uci,completa
altexitus_ucoronarios,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_uCoronarios,completa
altexitus_uneonatales,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_uNeonatales,completa
altexitus_uquemados,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altExitus_uQuemados,completa
altfinal_cirugia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_cirugia,completa
altfinal_gine,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_gine,completa
altfinal_largaestan,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_largaEstan,completa
altfinal_med,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_med,completa
altfinal_neonatologia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_neonatologia,completa
altfinal_o1,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_o1,completa
altfinal_o2,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_o2,completa
altfinal_o3,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_o3,completa
altfinal_paliativos,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_paliativos,completa
altfinal_pediatria,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_pediatria,completa
altfinal_psiagudo,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_psiAgudo,completa
altfinal_psiquiatria,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_psiquiatria,completa
altfinal_psiquimedia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_psiquiMedia,completa
altfinal_rehabilitacion,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_rehabilitacion,completa
altfinal_restopedia,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_restoPedia,completa
altfinal_total,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_total,completa
altfinal_trauma,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_trauma,completa
altfinal_uci,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_uci,completa
altfinal_ucoronarios,14,2010,2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,altFinal_uCoronarios,completa
